Nro_;ZONA;DISTRITO;PROVINCIA;CANTÓN;PARROQUIA;TIPO_EDUCA;INSTITUCIO;SOSTENIMIE;JURISDICCI;MODALIDAD;Régimen;TIPOLOGIA;ZONA_INEC;NIVEL DE EDUCACIÓN;AUX_AÑO DE DOTACIÓN;AMIE;Longitud;Latitud
630;Zona 1;21D02;SUCUMBIOS;LAGO AGRIO;GENERAL FARFAN;Ordinario;UNIDAD EDUCATIVA DEL MILENIO RAFAEL RODRIGUEZ PALACIOS;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;21H00226;-76,84761368;0,231690334
631;Zona 1;21D02;SUCUMBIOS;LAGO AGRIO;PACAYACU;Ordinario;UNIDAD EDUCATIVA TIWINTZA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;21H00306;-76,58445094;-0,041798801
632;Zona 1;21D02;SUCUMBIOS;LAGO AGRIO;PACAYACU;Ordinario;CARLOS AZUERO AÑAZCO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;21H00308;-76,55765073;0,246983365
633;Zona 1;21D02;SUCUMBIOS;LAGO AGRIO;PACAYACU;Ordinario;UNIDAD EDUCATIVA PACAYACU;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;21H00321;-76,59661113;-0,036861076
634;Zona 1;21D02;SUCUMBIOS;LAGO AGRIO;JAMBELI;Ordinario;UNIDAD EDUCATIVA JAMBELI;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;21H00332;-77,0760061;0,083669756
635;Zona 1;21D02;SUCUMBIOS;LAGO AGRIO;SANTA CECILIA;Ordinario;UNIDAD EDUCATIVA DOCTORA IRENE GUERRON;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;21H00343;-76,95085135;0,091632855
636;Zona 1;21D01;SUCUMBIOS;GONZALO PIZARRO;EL REVENTADOR;Ordinario;EL REVENTADOR;FISCAL;Intercultural;Presencial;Sierra;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;21H00362;-77,52561111;-0,050027773
637;Zona 1;08D05;ESMERALDAS;SAN LORENZO;CALDERON;Ordinario;UNIDAD EDUCATIVA JUAN BENIGNO CHECA DROUETH;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial y EGB;2027;08H01256;-78,77196232;1,239947283
638;Zona 3;18D02;TUNGURAHUA;AMBATO;SANTA ROSA;Ordinario;UNIDAD EDUCATIVA SANTA ROSA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;18H00313;-78,66050423;-1,285392407
639;Zona 1;21D04;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;Ordinario;ESCUELA DE EDUCACIÓN GENERAL BÁSICA ANGEL ALMEIDA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB;2027;21H00494;-76,62979371;-0,199685116
640;Zona 1;21D04;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;Ordinario;UNIDAD EDUCATIVA SHUSHUFINDI;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;21H00502;-76,64361557;-0,181240875
641;Zona 1;21D04;SUCUMBIOS;SHUSHUFINDI;SAN ROQUE (CAB. EN SAN VICENTE);Ordinario;UNIDAD EDUCATIVA JUAN MONTALVO;FISCAL;Intercultural;Presencial;Sierra;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;21H00594;-76,53997497;-0,303588022
642;Zona 1;21D04;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;Ordinario;UNIDAD EDUCATIVA FRANCISCO JAVIER PEÑARRETA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB;2027;21H00535;-76,6407815;-0,184706286
643;Zona 1;08D03;ESMERALDAS;MUISNE;SAN GREGORIO;Ordinario;ESCUELA DE EDUCACION GENERAL BASICA FISCAL PRESIDENTE ROOSEVELT;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial y EGB;2027;08H00646;-79,97053536;0,52870227
644;Zona 1;21D04;SUCUMBIOS;SHUSHUFINDI;SAN ROQUE (CAB. EN SAN VICENTE);Ordinario;UNIDAD EDUCATIVA HNA INES ARANGO VELASQUEZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;21H00586;-76,48902986;-0,322198265
645;Zona 1;21D04;SUCUMBIOS;SHUSHUFINDI;SAN ROQUE (CAB. EN SAN VICENTE);Ordinario;UNIDAD EDUCATIVA RIO YASUNI;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;21H00587;-76,36252629;-0,296287816
646;Zona 1;08D02;ESMERALDAS;ELOY ALFARO;TELEMBI;Ordinario;UNIDAD EDUCATIVA  LEOPOLDO N CHAVEZ;Fiscal;Intercultural;Presencial;Costa;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;08H00542;-78,92832799;0,808315235
647;Zona 1;21D04;SUCUMBIOS;SHUSHUFINDI;SIETE DE JULIO;Ordinario;UNIDAD EDUCATIVA CIUDAD DE PORTOVIEJO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;21H00621;-76,7847222;-0,184361122
648;Zona 2;22D02;ORELLANA;ORELLANA;EL DORADO;Ordinario;UNIDAD EDUCATIVA DAVID CLARK;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;22H00054;-76,95510629;-0,502464012
649;Zona 2;22D02;ORELLANA;ORELLANA;PUERTO FRANCISCO DE ORELLANA (EL COCA);Ordinario;24 DE MARZO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB;2027;22H00056;-76,9941389;-0,44522325
650;Zona 2;22D02;ORELLANA;ORELLANA;PUERTO FRANCISCO DE ORELLANA (EL COCA);Ordinario;UNIDAD EDUCATIVA PRESIDENTE TAMAYO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;22H00064;-76,98516669;-0,472584016
651;Zona 2;17D10;PICHINCHA;PEDRO MONCAYO;TOCACHI;Ordinario;ESCUELA DE EDUCACION BASICA MANUEL VILLAVICENCIO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial y EGB;2027;17H02343;-78,2922837;0,042858025
652;Zona 2;22D02;ORELLANA;ORELLANA;PUERTO FRANCISCO DE ORELLANA (EL COCA);Ordinario;UNIDAD EDUCATIVA ARTURO BORJA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;22H00109;-77,02862772;-0,451762384
653;Zona 2;22D02;ORELLANA;ORELLANA;PUERTO FRANCISCO DE ORELLANA (EL COCA);Ordinario;UNIDAD EDUCATIVA CIUDAD DE COCA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;22H00145;-76,98976449;-0,454478518
654;Zona 2;22D02;ORELLANA;ORELLANA;PUERTO FRANCISCO DE ORELLANA (EL COCA);Ordinario;UNIDAD EDUCATIVA VICTOR SERGIO RON VEGA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;22H00147;-76,99169091;-0,469328308
655;Zona 2;22D02;ORELLANA;ORELLANA;PUERTO FRANCISCO DE ORELLANA (EL COCA);Ordinario;AMAZONAS;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;22H00150;-76,99281382;-0,465999916
656;Zona 2;22D02;ORELLANA;ORELLANA;INES ARANGO (CAB. EN WESTERN);Ordinario;UNIDAD EDUCATIVA TIGUINO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;22H00152;-76,93367269;-1,093328169
657;Zona 2;17D12;PICHINCHA;PUERTO QUITO;PUERTO QUITO;Ordinario;UNIDAD EDUCATIVA CEPE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial, Educación Básica y Bachillerato;2027;17H02663;-79,25353041;0,054333011
658;Zona 2;22D02;ORELLANA;ORELLANA;INES ARANGO (CAB. EN WESTERN);Ordinario;UNIDAD EDUCATIVA FLOR DEL ORIENTE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;22H00185;-76,91377125;-0,911690982
659;Zona 2;22D01;ORELLANA;LA JOYA DE LOS SACHAS;LAGO SAN PEDRO;Ordinario;LAGO SAN PEDRO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;22H00325;-76,94371555;-0,241947677
660;Zona 2;22D01;ORELLANA;LA JOYA DE LOS SACHAS;TRES DE NOVIEMBRE;Ordinario;CIUDAD DE BELEN;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente menor;Rural;Inicial/EGB;2027;22H00329;-76,95030617;-0,159058101
661;Zona 2;22D02;ORELLANA;LORETO;AVILA (CAB. EN HUIRUNO);Ordinario;CERVANTES ECUATORIANO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;22H00411;-77,31369027;-0,698555435
662;Zona 2;17D10;PICHINCHA;CAYAMBE;OTON;Ordinario;UNIDAD EDUCATIVA CESAR ARROYO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;17H02231;-78,2601482;-0,026568039
663;Zona 2;17D11;PICHINCHA;RUMIÑAHUI;SANGOLQUI;Ordinario;RUMIÑAHUI;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial, Educación Básica y Bachillerato;2027;17H02995;-78,45874009;-0,355263126
664;Zona 2;22D01;ORELLANA;LA JOYA DE LOS SACHAS;LA JOYA DE LOS SACHAS;Ordinario;UNIDAD EDUCATIVA “AGOYAN”;FISCAL;Intercultural;Presencial;Sierra;Pluridocente mayor;Urbana;Inicial, Educación Básica y Bachillerato;2027;22H00260;-76,8579252;-0,29204585
665;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;ABRAHAM CALAZACON;Ordinario;UNIDAD EDUCATIVA RUBEN DARIO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2027;23H00016;-79,19770832;-0,256260318
666;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;ABRAHAM CALAZACON;Ordinario;UNIDAD EDUCATIVA SANTO DOMINGO DE LOS COLORADOS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;23H00091;-79,18667051;-0,256126273
667;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;BOMBOLI;Ordinario;UNIDAD EDUCATIVA RAMÓN MONCAYO BENÍTEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2027;23H00135;-79,19104082;-0,224848576
668;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;BOMBOLI;Ordinario;UNIDAD EDUCATIVA GONZALO BENITEZ GOMEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2027;23H00137;-79,19762454;-0,227498938
669;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;SANTO DOMINGO DE LOS COLORADOS;Ordinario;UNIDAD EDUCATIVA LAS DELICIAS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;23H00284;-79,40628123;-0,262072386
670;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;SANTO DOMINGO DE LOS COLORADOS;Ordinario;UNIDAD EDUCATIVA VEINTICUATRO DE MAYO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;23H00288;-79,17505995;-0,250025227
671;Zona 4;23D01;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;CHIGUILPE;Ordinario;UNIDAD EDUCATIVA JULIO MORENO ESPINOSA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;23H00295;-79,16485389;-0,252741832
672;Zona 4;23D03;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;LA CONCORDIA;Ordinario;UNIDAD EDUCATIVA SERGIO NUÑEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;23H00301;-79,39734027;0,005155028
673;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;PUERTO LIMON;Ordinario;UNIDAD EDUCATIVA VASCO NUÑEZ DE BALBOA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;23H00325;-79,39682739;-0,334540608
674;Zona 4;23D03;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;LA VILLEGAS;Ordinario;JOSE DE LA CRUZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;23H00360;-79,44434552;-0,055496883
675;Zona 4;23D03;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;LA CONCORDIA;Ordinario;UNIDAD EDUCATIVA AGUSTIN OCAMPO SANTANDER;Fiscal;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial y EGB;2027;08H01136;-79,40166741;0,016923878
676;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;SANTO DOMINGO DE LOS COLORADOS;Ordinario;UNIDAD EDUCATIVA PROCER MANUEL QUIROGA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;23H00388;-79,34363752;-0,244282318
677;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;ABRAHAM CALAZACON;Ordinario;UNIDAD EDUCATIVA DR CARLOS RUFINO MARIN;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;23H00407;-79,21483346;-0,291436324
678;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;PUERTO LIMON;Ordinario;UNIDAD EDUCATIVA VICENTE RAMON ROCA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;23H00506;-79,33684636;-0,35496546
679;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;PUERTO LIMON;Ordinario;UNIDAD EDUCATIVA PUERTO LIMON;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;23H00514;-79,37033903;-0,385755968
680;Zona 4;23D03;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;PLAN PILOTO;Ordinario;MYR. LUIS ANÍBAL YÉPEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;23H00822;-79,39212884;-0,07063143
681;Zona 4;23D01;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;RIO VERDE;Ordinario;UNIDAD EDUCATIVA ALESSANDRO VOLTA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;23H00824;-79,18540942;-0,271310579
682;Zona 4;23D02;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;SAN JACINTO DEL BUA;Ordinario;UNIDAD EDUCATIVA SAN JACINTO DEL BÚA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;23H00829;-79,3852222;-0,149972251
683;Zona 4;23D03;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;MONTERREY;Ordinario;UNIDAD EDUCATIVA JOAQUIN GALLEGOS LARA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;23H00834;-79,49579856;-0,039912306
684;Zona 4;23D03;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;LA CONCORDIA;Ordinario;UNIDAD EDUCATIVA LUIS VARGAS TORRES;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;23H00835;-79,38978826;0,005462405
685;Zona 4;23D01;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;CHIGUILPE;Ordinario;UNIDAD EDUCATIVA MONS EMILIO LORENZO STEHLE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;23H00836;-79,14849139;-0,258251926
686;Zona 5;24D01;SANTA ELENA;SANTA ELENA;BALLENITA;Ordinario;ESCUELA DE EDUCACION BASICA BALLENITA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;24H00001;-80,87489325;-2,207274963
687;Zona 5;24D01;SANTA ELENA;SANTA ELENA;SANTA ELENA;Ordinario;ESCUELA DE EDUCACION BASICA DIECIOCHO DE AGOSTO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;24H00005;-80,86276138;-2,228005616
688;Zona 5;24D01;SANTA ELENA;SANTA ELENA;SANTA ELENA;Ordinario;ESCUELA DE EDUCACION BASICA DR CARLOS PUIG VILAZAR;FISCAL;Intercultural;Presencial y Semipresencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;24H00007;-80,77473524;-2,141725813
689;Zona 5;24D01;SANTA ELENA;SANTA ELENA;SIMON BOLIVAR (JULIO MORENO);Ordinario;ESCUELA DE EDUCACION BASICA PROFESOR VIRGILIO TORRES LUZURIAGA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00009;-80,31937599;-2,214786043
690;Zona 5;24D01;SANTA ELENA;SANTA ELENA;SAN JOSE DE ANCON;Ordinario;ESCUELA DE EDUCACION BASICA VEINTIUNO DE DICIEMBRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00010;-80,85626771;-2,318188173
691;Zona 5;24D01;SANTA ELENA;SANTA ELENA;SANTA ELENA;Ordinario;UNIDAD EDUCATIVA CARLOS JULIO AROSEMENA TOLA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;24H00012;-80,77404285;-2,141282402
692;Zona 5;24D01;SANTA ELENA;SANTA ELENA;MANGLARALTO;Ordinario;ESCUELA DE EDUCACION BASICA SAN ANTONIO DE PADUA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00019;-80,73546449;-1,873149037
693;Zona 5;24D01;SANTA ELENA;SANTA ELENA;SAN JOSE DE ANCON;Ordinario;ESCUELA DE EDUCACION BASICA LEONARDO W BERRY;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00022;-80,85367527;-2,323465462
694;Zona 5;12D03;LOS RIOS;MOCACHE;MOCACHE;Ordinario;CENTRO DE EDUCACIÓN INICIAL 16 DE AGOSTO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial;2026;12H01935;-79,50741931;-1,188742807
695;Zona 5;24D01;SANTA ELENA;SANTA ELENA;SANTA ELENA;Ordinario;UNIDAD EDUCATIVA MARISCAL SUCRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;24H00027;-80,58220832;-2,247935792
696;Zona 5;24D01;SANTA ELENA;SANTA ELENA;SANTA ELENA;Ordinario;UNIDAD  EDUCATIVA  PROF CLEOFE APOLINARIO ORRALA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;24H00031;-80,7071556;-2,313906976
697;Zona 5;12D01;LOS RIOS;BABAHOYO;CARACOL;Ordinario;UNIDAD EDUCATIVA CARACOL;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2026;12H00155;-79,46354808;-1,672285955
698;Zona 5;24D01;SANTA ELENA;SANTA ELENA;SANTA ELENA;Ordinario;CENTRO DE EDUCACION INICIAL VIRGINIA REYES GONZALEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial;2026;24H00039;-80,85888334;-2,225702567
699;Zona 5;24D02;SANTA ELENA;LA LIBERTAD;LA LIBERTAD;Ordinario;ESCUELA DE EDUCACION BASICA CARMEN EUFEMIA MONTENEGRO DE OBREGON;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;24H00041;-80,90206968;-2,230148244
700;Zona 5;24D01;SANTA ELENA;SANTA ELENA;SANTA ELENA;Ordinario;ESCUELA DE EDUCACION  BASICA CARMEN CALISTO DE BORJA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;24H00045;-80,85489984;-2,219513929
701;Zona 5;12D06;LOS RIOS;BUENA FE;PATRICIA PILAR;Ordinario;PATRICIA PILAR;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial y EGB;2026;12H01707;-79,36952954;-0,57866527
702;Zona 5;24D01;SANTA ELENA;SANTA ELENA;ATAHUALPA;Ordinario;UNIDAD EDUCATIVA JUAN ALBERTO PANCHANA PADRON;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;24H00060;-80,77669697;-2,312408832
703;Zona 5;24D01;SANTA ELENA;SANTA ELENA;COLONCHE;Ordinario;ESCUELA DE EDUCACION BASICA RAFAEL MORAN VALVERDE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00062;-80,72660052;-2,042700623
704;Zona 5;24D01;SANTA ELENA;SANTA ELENA;COLONCHE;Ordinario;ESCUELA DE EDUCACION BASICA JUAN LEÓN MERA MARTÍNEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00064;-80,6518425;-1,91323799
705;Zona 5;24D01;SANTA ELENA;SANTA ELENA;COLONCHE;Ordinario;UNIDAD EDUCATIVA IGNACIO ALVARADO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;24H00072;-80,73256039;-2,023943917
706;Zona 5;24D01;SANTA ELENA;SANTA ELENA;ATAHUALPA;Ordinario;QUINCE DE MARZO;Fiscal;Intercultural;Presencial;Costa;Pluridocente mayor;Rural;Inicial y EGB;2026;24H00059;-80,7748889;-2,314272246
707;Zona 5;24D01;SANTA ELENA;SANTA ELENA;COLONCHE;Ordinario;ESCUELA DE EDUCACION BASICA LUCRECIA CISNEROS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00075;-80,65086072;-1,965412075
708;Zona 5;24D01;SANTA ELENA;SANTA ELENA;COLONCHE;Ordinario;UNIDAD EDUCATIVA ANTONIO ISSA YAZBEK;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;24H00077;-80,5860305;-1,99892524
709;Zona 5;24D01;SANTA ELENA;SANTA ELENA;COLONCHE;Ordinario;ESCUELA DE EDUCACION BASICA MIGUEL DE LETAMENDI;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00084;-80,6166517;-1,944044551
710;Zona 5;24D01;SANTA ELENA;SANTA ELENA;COLONCHE;Ordinario;ESCUELA DE EDUCACION BASICA AURELIO CARRERA CALVO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00091;-80,65522252;-1,961694652
711;Zona 5;24D01;SANTA ELENA;SANTA ELENA;COLONCHE;Ordinario;ESCUELA DE EDUCACION BASICA CARLOS JULIO AROSEMENA MONRROY;FISCAL;Intercultural;Presencial;COSTA;Bidocente;Rural;Inicial/EGB;2026;24H00096;-80,60547421;-2,133566852
712;Zona 5;24D01;SANTA ELENA;SANTA ELENA;COLONCHE;Ordinario;UNIDAD EDUCATIVA FRANCISCO PIZARRO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;24H00101;-80,73424545;-2,05731895
713;Zona 5;24D01;SANTA ELENA;SANTA ELENA;COLONCHE;Ordinario;ESCUELA DE EDUCACION BASICA PRESIDENTE LIZARDO GARCÍA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00107;-80,67069144;-2,020049927
714;Zona 5;24D01;SANTA ELENA;SANTA ELENA;CHANDUY;Ordinario;ESCUELA DE EDUCACION BASICA JOSE MARTINEZ COBO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00114;-80,68123323;-2,401458411
715;Zona 5;24D01;SANTA ELENA;SANTA ELENA;CHANDUY;Ordinario;ESCUELA DE EDUCACION BASICA MARGOTH SANTISTEVAN DE SAN LUCAS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00115;-80,65695008;-2,357592671
716;Zona 5;24D01;SANTA ELENA;SANTA ELENA;CHANDUY;Ordinario;UNIDAD EDUCATIVA ELISA AYALA GONZALEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;24H00117;-80,28587758;-2,307595989
717;Zona 5;12D01;LOS RIOS;BABA;GUARE;Ordinario;UNIDAD EDUCATIVA “FRANCISCO CAMPOS COELLO”;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial y EGB;2026;12H00446;-79,73738383;-1,707819005
718;Zona 5;24D01;SANTA ELENA;SANTA ELENA;CHANDUY;Ordinario;ESCUELA DE EDUCACION BASICA JOSE LUIS TAMAYO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00128;-80,71672048;-2,3816261
719;Zona 5;24D01;SANTA ELENA;SANTA ELENA;CHANDUY;Ordinario;ESCUELA DE EDUCACION BASICA DR CARLOS CAMACHO NAVARRO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;24H00129;-80,26993763;-2,33266455
720;Zona 5;24D01;SANTA ELENA;SANTA ELENA;CHANDUY;Ordinario;UNIDAD EDUCATIVA VICENTE ROCAFUERTE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;24H00130;-80,56071545;-2,321549794
